Date,Revenue
2009-12-01,44048.69
2009-12-02,52941.99
2009-12-03,67479.08
2009-12-04,34064.41
2009-12-05,9803.050000000001
2009-12-06,24580.72
2009-12-07,33169.63
2009-12-08,44804.340000000004
2009-12-09,31113.600000000002
2009-12-10,38806.36
2009-12-11,39415.88
2009-12-13,21711.46
2009-12-14,51398.43
2009-12-15,46914.58
2009-12-16,37174.0
2009-12-17,30345.89
2009-12-18,31680.52
2009-12-20,11423.33
2009-12-21,15568.04
2009-12-22,10702.74
2009-12-23,9507.42
2010-01-04,13450.54
2010-01-05,19136.14
2010-01-06,8740.69
2010-01-07,73035.23
2010-01-08,30317.8
2010-01-10,23248.08
2010-01-11,19685.34
2010-01-12,38903.13
2010-01-13,12409.99
2010-01-14,23843.47
2010-01-15,13507.54
2010-01-17,17548.29
2010-01-18,12132.69
2010-01-19,22011.471
2010-01-20,13366.46
2010-01-21,27391.96
2010-01-22,29374.48
2010-01-24,15691.72
2010-01-25,18375.19
2010-01-26,38647.22
2010-01-27,23758.02
2010-01-28,18949.43
2010-01-29,25427.991
2010-01-31,18366.19
2010-02-01,16654.131
2010-02-02,19715.71
2010-02-03,17265.551
2010-02-04,22661.8
2010-02-05,19507.18
2010-02-07,17075.3
2010-02-08,13047.56
2010-02-09,18445.98
2010-02-10,6123.39
2010-02-11,15096.0
2010-02-12,9742.16
2010-02-14,17901.06
2010-02-15,42610.561
2010-02-16,25728.260000000002
2010-02-17,26558.73
2010-02-18,35798.29
2010-02-19,18961.84
2010-02-21,11477.911
2010-02-22,26341.79
2010-02-23,20896.28
2010-02-24,30413.861
2010-02-25,44631.31
2010-02-26,12799.391
2010-02-28,16917.02
2010-03-01,23982.670000000002
2010-03-02,21707.53
2010-03-03,31906.24
2010-03-04,30037.15
2010-03-05,25509.64
2010-03-07,19230.27
2010-03-08,26607.28
2010-03-09,19701.84
2010-03-10,23000.19
2010-03-11,21633.64
2010-03-12,19146.25
2010-03-14,9032.7
2010-03-15,20611.431
2010-03-16,21152.84
2010-03-17,29619.48
2010-03-18,37629.29
2010-03-19,35397.14
2010-03-21,20836.18
2010-03-22,21653.89
2010-03-23,41914.54
2010-03-24,26031.36
2010-03-25,30658.41
2010-03-26,29889.94
2010-03-28,22562.62
2010-03-29,31812.08
2010-03-30,33648.52
2010-03-31,24695.87
2010-04-01,28701.81
2010-04-06,17982.48
2010-04-07,32195.350000000002
2010-04-08,39938.28
2010-04-09,14707.33
2010-04-11,19967.32
2010-04-12,26011.031
2010-04-13,25795.32
2010-04-14,27203.98
2010-04-15,19592.19
2010-04-16,19416.420000000002
2010-04-18,24096.88
2010-04-19,24620.04
2010-04-20,21323.69
2010-04-21,25962.71
2010-04-22,35766.15
2010-04-23,15124.24
2010-04-25,16774.12
2010-04-26,29918.53
2010-04-27,43801.9
2010-04-28,31291.74
2010-04-29,29714.021
2010-04-30,24703.66
2010-05-02,12367.83
2010-05-04,18988.58
2010-05-05,23642.83
2010-05-06,51788.06
2010-05-07,32001.21
2010-05-09,23143.29
2010-05-10,26539.18
2010-05-11,25259.07
2010-05-12,29794.61
2010-05-13,39032.8
2010-05-14,16917.19
2010-05-16,18478.89
2010-05-17,23339.74
2010-05-18,26274.83
2010-05-19,16710.4
2010-05-20,25434.03
2010-05-21,22560.06
2010-05-23,25155.77
2010-05-24,33580.34
2010-05-25,20514.92
2010-05-26,29627.59
2010-05-27,29397.36
2010-05-28,18652.75
2010-05-30,10784.460000000001
2010-06-01,13191.66
2010-06-02,13778.51
2010-06-03,26787.3
2010-06-04,11447.73
2010-06-06,25686.0
2010-06-07,45828.13
2010-06-08,48431.52
2010-06-09,36609.86
2010-06-10,18089.8
2010-06-11,30960.89
2010-06-13,21333.72
2010-06-14,21388.51
2010-06-15,26973.08
2010-06-16,29305.64
2010-06-17,22812.78
2010-06-18,17800.34
2010-06-20,9113.43
2010-06-21,18246.3
2010-06-22,12431.13
2010-06-23,25098.24
2010-06-24,17268.73
2010-06-25,12377.64
2010-06-27,18834.32
2010-06-28,51270.77
2010-06-29,32420.64
2010-06-30,31579.91
2010-07-01,28965.25
2010-07-02,16778.23
2010-07-04,10493.66
2010-07-05,31069.37
2010-07-06,19921.23
2010-07-07,24954.420000000002
2010-07-08,20020.69
2010-07-09,33417.54
2010-07-11,7679.86
2010-07-12,16259.7
2010-07-13,17463.76
2010-07-14,19502.47
2010-07-15,55987.63
2010-07-16,21148.11
2010-07-18,14646.26
2010-07-19,28646.420000000002
2010-07-20,23217.99
2010-07-21,19171.47
2010-07-22,21672.08
2010-07-23,23925.32
2010-07-25,17431.3
2010-07-26,20346.23
2010-07-27,28293.86
2010-07-28,23308.920000000002
2010-07-29,32923.63
2010-07-30,14391.34
2010-08-01,30724.29
2010-08-02,26390.89
2010-08-03,22388.16
2010-08-04,17594.33
2010-08-05,23247.39
2010-08-06,14738.6
2010-08-08,14135.34
2010-08-09,31355.41
2010-08-10,28280.39
2010-08-11,18674.68
2010-08-12,26131.35
2010-08-13,15269.89
2010-08-15,20679.97
2010-08-16,14341.34
2010-08-17,28821.02
2010-08-18,35233.12
2010-08-19,30741.84
2010-08-20,23264.37
2010-08-22,22766.81
2010-08-23,20665.02
2010-08-24,26612.19
2010-08-25,30529.81
2010-08-26,32072.39
2010-08-27,12210.79
2010-08-29,14509.78
2010-08-31,22863.48
2010-09-01,20387.01
2010-09-02,33483.72
2010-09-03,34775.61
2010-09-05,12389.65
2010-09-06,23733.02
2010-09-07,24407.5
2010-09-08,16209.630000000001
2010-09-09,23633.48
2010-09-10,16023.15
2010-09-12,15762.29
2010-09-13,32968.56
2010-09-14,19756.84
2010-09-15,33851.05
2010-09-16,27173.141
2010-09-17,19548.35
2010-09-19,22984.34
2010-09-20,38634.58
2010-09-21,55151.61
2010-09-22,27261.12
2010-09-23,34375.74
2010-09-24,47160.31
2010-09-26,21858.47
2010-09-27,115243.44
2010-09-28,40204.85
2010-09-29,36895.79
2010-09-30,37741.75
2010-10-01,34597.86
2010-10-03,38663.81
2010-10-04,35019.51
2010-10-05,55162.92
2010-10-06,30468.72
2010-10-07,47747.15
2010-10-08,51889.25
2010-10-10,23190.78
2010-10-11,40044.11
2010-10-12,46646.97
2010-10-13,51841.53
2010-10-14,87053.6
2010-10-15,42504.37
2010-10-17,31444.71
2010-10-18,36716.08
2010-10-19,46626.44
2010-10-20,43661.16
2010-10-21,33093.23
2010-10-22,32940.68
2010-10-24,28872.3
2010-10-25,28007.03
2010-10-26,42670.75
2010-10-27,30541.15
2010-10-28,30771.4
2010-10-29,36158.840000000004
2010-10-31,30345.65
2010-11-01,20819.29
2010-11-02,43000.14
2010-11-03,42957.23
2010-11-04,84346.78
2010-11-05,40980.13
2010-11-07,31829.1
2010-11-08,32430.401
2010-11-09,53303.03
2010-11-10,73828.15
2010-11-11,59838.16
2010-11-12,36207.04
2010-11-14,28344.41
2010-11-15,43238.62
2010-11-16,64020.54
2010-11-17,45982.431000000004
2010-11-18,37235.14
2010-11-19,40229.5
2010-11-21,32448.6
2010-11-22,31847.63
2010-11-23,50010.020000000004
2010-11-24,41375.81
2010-11-25,68099.3
2010-11-26,28995.48
2010-11-28,27587.260000000002
2010-11-29,63425.28
2010-11-30,49956.57
2010-12-01,46376.49
2010-12-02,47316.53
2010-12-03,23921.71
2010-12-05,31771.6
2010-12-06,31215.64
2010-12-07,53795.31
2010-12-08,39248.82
2010-12-09,38231.9
