Date,Forecast
2010-12-10,43168.13397172288
2010-12-11,43044.9492475691
2010-12-12,38418.186175679315
2010-12-13,37410.194213135925
2010-12-14,45491.76849185346
2010-12-15,36593.90853714876
2010-12-16,43516.006853577295
2010-12-17,44123.93186611175
2010-12-18,41346.56264979849
2010-12-19,38000.52169780404
2010-12-20,37038.572735232185
2010-12-21,46625.176768408266
2010-12-22,37140.91513312103
2010-12-23,43238.843914057885
2010-12-24,44296.10148665053
2010-12-25,41794.269796196335
2010-12-26,38315.273879564644
2010-12-27,37348.54507807273
2010-12-28,46778.90821042731
2010-12-29,37355.52239938603
2010-12-30,43539.01027991759
2010-12-31,44549.6215162874
2011-01-01,42019.18558653311
2011-01-02,38553.99205711805
2011-01-03,37587.75946265223
2011-01-04,47034.34235346486
2011-01-05,37604.63687094183
2011-01-06,43779.24264747875
2011-01-07,44794.696356610235
2011-01-08,42267.22990443757
