StockCode,Description,QuantitySold,Revenue,AvgPrice,Orders,InventoryStatus,Recommendation
10002,INFLATABLE POLITICAL GLOBE ,7801,6061.97,0.8398134328358209,258,Fast Moving,Restock Immediately
10080,GROOVY CACTUS INFLATABLE,12,10.2,0.85,5,Slow Moving,Reduce Inventory
10109,BENDY COLOUR PENCILS,4,1.68,0.42,1,Slow Moving,Reduce Inventory
10120,DOGGY RUBBER,471,98.91,0.21,36,Normal,Monitor Stock
10123C,HEARTS WRAPPING TAPE ,627,226.11,0.6223404255319149,44,Normal,Monitor Stock
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,0.5592307692307693,12,Fast Moving,Restock Immediately
10124A,SPOTS ON RED BOOKCOVER TAPE,46,19.32,0.42,14,Slow Moving,Reduce Inventory
10124G,ARMY CAMO BOOKCOVER TAPE,20,8.4,0.42,6,Slow Moving,Reduce Inventory
10125,MINI FUNKY DESIGN TAPES,790,671.5,0.85,63,Normal,Monitor Stock
10133,COLOURING PENCILS BROWN TUBE,967,799.85,0.8455681818181818,88,Normal,Monitor Stock
10134,COLOURING PENCILS BROWN TUBE,614,704.8,1.2426923076923078,48,Normal,Monitor Stock
10135,COLOURING PENCILS BROWN TUBE,1982,2302.7,1.2444525547445255,136,Fast Moving,Restock Immediately
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,0.42,16,Normal,Monitor Stock
11001,ASSTD DESIGN RACING CAR PEN,3073,4743.69,1.663888888888889,120,Fast Moving,Restock Immediately
15030,FAN BLACK FRAME ,111,32.19,0.29,14,Normal,Monitor Stock
15034,PAPER POCKET TRAVELING FAN ,3509,474.46000000000004,0.13919540229885058,84,Fast Moving,Restock Immediately
15036,ASSORTED COLOURS SILK FAN,19202,12784.880000000001,0.7254746835443038,316,Fast Moving,Restock Immediately
15039,SANDALWOOD FAN,2604,1730.2,0.8277391304347826,112,Fast Moving,Restock Immediately
15044A,PINK PAPER PARASOL ,4472,11573.199999999999,2.9155172413793107,116,Fast Moving,Restock Immediately
15044B,BLUE PAPER PARASOL ,1319,3516.65,2.9147058823529415,102,Fast Moving,Restock Immediately
15044C,PURPLE PAPER PARASOL,594,1657.9,2.926923076923077,101,Normal,Monitor Stock
15044D,RED PAPER PARASOL,915,2520.05,2.915811965811966,115,Normal,Monitor Stock
15056BL,EDWARDIAN PARASOL BLACK,6709,31457.55,5.7448811700182825,512,Fast Moving,Restock Immediately
15056N,EDWARDIAN PARASOL NATURAL,7201,34044.75,5.729175050301811,496,Fast Moving,Restock Immediately
15056P,EDWARDIAN PARASOL PINK,1723,7887.05,5.77041884816754,189,Fast Moving,Restock Immediately
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,6.621428571428572,55,Normal,Monitor Stock
15058B,PINK POLKADOT GARDEN PARASOL,6,47.7,7.95,3,Slow Moving,Reduce Inventory
15058B,PINK WHITE SPOTS GARDEN PARASOL,180,1007.0,7.132978723404255,47,Normal,Monitor Stock
15058C,ICE CREAM DESIGN GARDEN PARASOL,220,1069.0,6.779268292682927,41,Normal,Monitor Stock
15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,3.0,1,Normal,Monitor Stock
15060B,FAIRY CAKE DESIGN UMBRELLA,745,2726.55,3.7371657754010696,186,Normal,Monitor Stock
16008,SMALL FOLDING SCISSOR(POINTED EDGE),251,62.75,0.25,16,Normal,Monitor Stock
